title,content_length,lead_length,lead_length_ratio,num_header2_reference,num_refTag,num_ref_tag,num_page_links,num_cite_temp,num_non_cite_templates,num_categories,num_images_length,num_files_length,has_infobox,num_lv2_headings,num_lv3_headings,website_count,word_count,type
Mezzoloth,89,89,1.0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,16,Stub
Mint Julep (film),2715,2066,0.7609576427255985,0,0,1,27,1,12,5,0.002578268876611418,0.00036832412523020257,1,4,0,2,249,Stub
Museum of Toys and Automata,2579,2228,0.8639007367196588,0,0,2,13,2,5,5,0.0023264831329972858,0.0,1,1,0,1,234,Stub
Nectandra sordida,831,323,0.38868832731648617,0,0,1,11,0,4,5,0.0012033694344163659,0.0,0,1,0,2,90,Stub
Nicholas Frankau,2067,862,0.417029511369134,0,0,1,33,0,9,7,0.0024189646831156266,0.0,1,3,0,1,198,Stub
Niederalben,32850,1058,0.03220700152207002,0,0,23,238,1,7,2,0.002526636225266362,0.00042617960426179604,1,8,21,6,1635,Stub
Nikolai Chagin,1525,1048,0.6872131147540984,0,0,0,27,0,6,8,0.003278688524590164,0.0006557377049180328,0,1,0,0,149,Stub
Prasenjit Duara,7478,2703,0.3614602834982616,0,0,8,31,8,8,9,0.001470981545867879,0.0,0,5,0,12,483,Stub
Raphitoma boutillieri,1720,714,0.41511627906976745,0,0,1,10,1,8,2,0.0017441860465116279,0.0011627906976744186,0,4,0,2,197,Stub
Sag Harbor station,3438,2980,0.8667830133798721,0,0,3,23,1,11,5,0.005526468877254218,0.0,1,2,0,2,273,Stub
Schonchin Butte,7116,2018,0.28358628442945477,0,0,5,47,3,14,9,0.004356379988757729,0.0002810567734682406,1,3,0,1,527,Stub
Soho Media,1067,899,0.8425492033739457,0,0,0,17,0,2,2,0.0028116213683223993,0.0018744142455482662,1,1,0,1,119,Stub
St. Peter's Umbrella (1958 film),2543,1513,0.5949665749115218,0,0,0,50,0,4,11,0.0007864726700747149,0.0007864726700747149,1,2,0,0,214,Stub
Stigmella resplendensella,1184,727,0.6140202702702703,0,0,0,15,0,3,2,0.0,0.0,0,1,0,3,124,Stub
Storage record,1243,1062,0.8543845534995977,0,0,0,16,0,1,1,0.004022526146419952,0.0,0,1,0,0,137,Stub
Tarnöyüt,1259,1068,0.8482922954725973,0,0,0,7,0,9,1,0.004765687053216839,0.0,1,1,0,0,113,Stub
"The Good, the Bad, the Sexy",6245,2259,0.36172938350680545,0,0,7,20,5,32,2,0.0009607686148919135,0.0,1,4,2,5,422,Stub
Tommy Valentine,2575,143,0.05553398058252427,0,0,5,20,5,4,9,0.0007766990291262136,0.0,0,5,0,5,234,Stub
Tonica citrantha,1933,1793,0.9275737196068288,0,0,3,9,0,5,2,0.002586652871184687,0.0,0,1,0,2,206,Stub
Twyning,6255,3666,0.5860911270983213,0,0,9,30,5,11,1,0.0015987210231814548,0.000319744204636291,1,5,0,7,503,Stub
Why? (American band),8897,1743,0.1959087332808812,0,0,9,65,9,13,6,0.0008991794987074295,0.00022479487467685737,1,6,5,10,556,Stub
